
Host: beboplogin3

Timers On : Fri Oct 13 09:49:31 2023
Timers Off: Fri Oct 13 09:55:35 2023

Wall Time:      363.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form D                          :      0.917u      0.083s      0.052w   4285 calls
HF: DIIS                            :    303.750u     18.250s     16.082w   3954 calls
HF: Form C                          :     36.533u      3.167s      1.993w   3954 calls
Libint2ERI::Libint2ERI              :     28.767u      1.633s      1.519w    331 calls
ccenergy                            :   3838.350u    471.133s    217.773w    331 calls
| F build                           :     80.367u      7.733s      4.397w   3947 calls
| Wmbej build                       :    176.617u     18.450s      9.808w   3947 calls
| | C->Wmbej                        :      9.033u      0.683s      0.485w   3947 calls
| | F->Wmbej                        :     99.433u     10.883s      5.587w   3947 calls
| | E->Wmbej                        :     25.600u      3.533s      1.418w   3947 calls
| | X->Wmbej                        :     33.583u      2.383s      1.859w   3947 calls
| Z                                 :     10.950u      0.900s      0.584w   3947 calls
| T2 Build                          :    409.017u     41.350s     22.519w   3947 calls
| | BT2                             :    178.800u     19.900s      9.891w   3947 calls
| | | ABCD:new                      :    177.833u     19.783s      9.831w   3947 calls
| | | | ABCD:S                      :     10.233u      0.817s      0.561w   3947 calls
| | | | ABCD:A                      :      9.767u      1.117s      0.545w   3947 calls
| | | | ABCD:axpy                   :    136.867u     16.133s      7.607w   3947 calls
| | FT2                             :     17.217u      1.750s      0.975w   3947 calls
| | WmbejT2                         :     57.033u      4.633s      3.073w   3947 calls
| | CT2                             :     85.350u      8.283s      4.708w   3947 calls
cctriples                           :    277.133u     36.067s     15.817w    331 calls
| ET_RHF                            :     25.033u      2.483s      1.381w    331 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:47:28 2023
Timers Off: Fri Oct 13 12:54:31 2023

Wall Time:      422.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     82.400u      4.450s      4.331w    129 calls
build grid                          :     40.117u      2.050s      2.097w    129 calls
post-process grid                   :     41.883u      2.367s      2.214w    129 calls
DFH: sparsity prep                  :     29.200u      1.783s      1.807w    129 calls
Libint2ERI::Libint2ERI              :     63.300u      3.433s      3.593w   3621 calls
DFH: initialize()                   :     62.850u      5.067s      3.434w    129 calls
DFH: AO Construction                :      5.467u      0.167s      0.282w    129 calls
DFH: AO-Met. Contraction            :      2.083u      0.150s      0.114w    129 calls
HF: Form core H                     :     14.200u      0.967s      0.764w    129 calls
HF: Form S/X                        :      2.333u      0.050s      0.121w    129 calls
HF: Guess                           :    176.867u     12.550s      9.465w    129 calls
SAD Guess                           :    171.117u     12.267s      9.166w    129 calls
HF: Form G                          :    780.283u      5.800s     39.574w   1273 calls
RV: Form V                          :    767.250u      4.767s     38.863w   1273 calls
Properties                          :    166.520p                         771485 calls
Functional                          :    148.485p                         771485 calls
V_xc                                :    188.392p                         704517 calls
JK: D                               :      0.750u      0.033s      0.035w   1273 calls
JK: USO2AO                          :      0.233u      0.000s      0.013w   1273 calls
JK: JK                              :      8.433u      0.800s      0.482w   1273 calls
DFH: compute_JK()                   :      7.750u      0.717s      0.448w   1273 calls
DFH: Grabbing AOs                   :      0.167u      0.000s      0.009w   1273 calls
DFH: compute_J                      :      2.383u      0.283s      0.145w   1273 calls
DFH: compute_K                      :      3.233u      0.217s      0.172w   1273 calls
JK: AO2USO                          :      0.183u      0.000s      0.009w   1273 calls
HF: Form F                          :      0.867u      0.017s      0.040w   1273 calls
HF: Form D                          :      0.450u      0.100s      0.030w   1273 calls
HF: DIIS                            :    102.233u      6.583s      5.432w   1144 calls
HF: Form C                          :     23.900u      1.050s      1.252w   1144 calls
Grad: V T Perturb                   :     10.900u      0.483s      0.570w    121 calls
Grad: S                             :      5.250u      0.283s      0.272w    121 calls
Grad: JK                            :    196.800u     11.567s     10.516w    121 calls
JKGrad: Amn                         :     68.800u      3.867s      3.636w    121 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.001w    121 calls
JKGrad: AB                          :     22.000u      1.417s      1.167w    121 calls
JKGrad: UV                          :      0.367u      0.050s      0.028w    121 calls
JKGrad: ABx                         :      8.400u      0.433s      0.478w    121 calls
JKGrad: Amnx                        :     87.350u      4.283s      4.637w    121 calls
Grad: XC                            :    162.267u      2.183s      8.219w    121 calls
V_xc gradient                       :     32.270p                          66968 calls

--------------------------------------------------------------------------------------
V: Grid                             :     82.400u      4.450s      4.331w    129 calls
| build grid                        :     40.117u      2.050s      2.097w    129 calls
| post-process grid                 :     41.883u      2.367s      2.214w    129 calls
DFH: sparsity prep                  :     29.200u      1.783s      1.807w    129 calls
| Libint2ERI::Libint2ERI            :     18.300u      1.083s      1.222w    129 calls
DFH: initialize()                   :     62.850u      5.067s      3.434w    129 calls
| Libint2ERI::Libint2ERI            :     13.967u      0.717s      0.741w   1677 calls
| DFH: AO Construction              :      5.467u      0.167s      0.282w    129 calls
| DFH: AO-Met. Contraction          :      2.083u      0.150s      0.114w    129 calls
HF: Form core H                     :     14.200u      0.967s      0.764w    129 calls
HF: Form S/X                        :      2.333u      0.050s      0.121w    129 calls
HF: Guess                           :    176.867u     12.550s      9.465w    129 calls
| SAD Guess                         :    171.117u     12.267s      9.166w    129 calls
HF: Form G                          :    780.283u      5.800s     39.574w   1273 calls
| RV: Form V                        :    767.250u      4.767s     38.863w   1273 calls
| | Properties                      :    128.975p                         704517 calls
| | Functional                      :    137.107p                         704517 calls
| | V_xc                            :    188.392p                         704517 calls
| JK: D                             :      0.750u      0.033s      0.035w   1273 calls
| JK: USO2AO                        :      0.233u      0.000s      0.013w   1273 calls
| JK: JK                            :      8.433u      0.800s      0.482w   1273 calls
| | DFH: compute_JK()               :      7.750u      0.717s      0.448w   1273 calls
| | | DFH: Grabbing AOs             :      0.167u      0.000s      0.009w   1273 calls
| | | DFH: compute_J                :      2.383u      0.283s      0.145w   1273 calls
| | | DFH: compute_K                :      3.233u      0.217s      0.172w   1273 calls
| JK: AO2USO                        :      0.183u      0.000s      0.009w   1273 calls
HF: Form F                          :      0.867u      0.017s      0.040w   1273 calls
HF: Form D                          :      0.450u      0.100s      0.030w   1273 calls
HF: DIIS                            :    102.233u      6.583s      5.432w   1144 calls
HF: Form C                          :     23.900u      1.050s      1.252w   1144 calls
Grad: V T Perturb                   :     10.900u      0.483s      0.570w    121 calls
Grad: S                             :      5.250u      0.283s      0.272w    121 calls
Grad: JK                            :    196.800u     11.567s     10.516w    121 calls
| JKGrad: Amn                       :     68.800u      3.867s      3.636w    121 calls
| | Libint2ERI::Libint2ERI          :     14.333u      0.817s      0.755w    121 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.001w    121 calls
| JKGrad: AB                        :     22.000u      1.417s      1.167w    121 calls
| | Libint2ERI::Libint2ERI          :      1.000u      0.100s      0.056w   1452 calls
| JKGrad: UV                        :      0.367u      0.050s      0.028w    121 calls
| JKGrad: ABx                       :      8.400u      0.433s      0.478w    121 calls
| | Libint2ERI::Libint2ERI          :      0.133u      0.000s      0.006w    121 calls
| JKGrad: Amnx                      :     87.350u      4.283s      4.637w    121 calls
| | Libint2ERI::Libint2ERI          :     15.567u      0.717s      0.813w    121 calls
Grad: XC                            :    162.267u      2.183s      8.219w    121 calls
| Properties                        :     37.545p                          66968 calls
| Functional                        :     11.378p                          66968 calls
| V_xc gradient                     :     32.270p                          66968 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:54:38 2023
Timers Off: Fri Oct 13 12:58:36 2023

Wall Time:      237.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     33.450u      1.700s      1.756w     53 calls
build grid                          :     16.367u      0.733s      0.859w     53 calls
post-process grid                   :     16.883u      0.967s      0.889w     53 calls
DFH: sparsity prep                  :     11.667u      0.667s      0.917w     53 calls
Libint2ERI::Libint2ERI              :     24.683u      1.467s      1.590w   1417 calls
DFH: initialize()                   :     25.717u      2.100s      1.419w     53 calls
DFH: AO Construction                :      2.367u      0.067s      0.119w     53 calls
DFH: AO-Met. Contraction            :      0.850u      0.117s      0.051w     53 calls
HF: Form core H                     :      5.700u      0.383s      0.309w     53 calls
HF: Form S/X                        :      0.900u      0.083s      0.051w     53 calls
HF: Guess                           :     72.233u      5.183s      3.878w     53 calls
SAD Guess                           :     70.050u      5.117s      3.754w     53 calls
HF: Form G                          :    317.033u      2.400s     16.239w    513 calls
RV: Form V                          :    311.750u      1.883s     15.946w    513 calls
Properties                          :     65.719p                         309737 calls
Functional                          :     61.751p                         309737 calls
V_xc                                :     77.245p                         284749 calls
JK: D                               :      0.250u      0.017s      0.013w    513 calls
JK: USO2AO                          :      0.117u      0.017s      0.005w    513 calls
JK: JK                              :      3.617u      0.383s      0.203w    513 calls
DFH: compute_JK()                   :      3.300u      0.383s      0.189w    513 calls
DFH: Grabbing AOs                   :      0.017u      0.033s      0.004w    513 calls
DFH: compute_J                      :      1.050u      0.150s      0.064w    513 calls
DFH: compute_K                      :      1.317u      0.083s      0.070w    513 calls
JK: AO2USO                          :      0.017u      0.000s      0.004w    513 calls
HF: Form F                          :      0.233u      0.050s      0.015w    513 calls
HF: Form D                          :      0.233u      0.017s      0.012w    513 calls
HF: DIIS                            :     40.567u      2.333s      2.146w    460 calls
HF: Form C                          :      9.683u      0.500s      0.502w    460 calls
Grad: V T Perturb                   :      3.917u      0.283s      0.205w     45 calls
Grad: S                             :      1.733u      0.083s      0.098w     45 calls
Grad: JK                            :     73.017u      4.400s      3.946w     45 calls
JKGrad: Amn                         :     25.983u      1.583s      1.377w     45 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     45 calls
JKGrad: AB                          :      7.967u      0.467s      0.425w     45 calls
JKGrad: UV                          :      0.183u      0.033s      0.010w     45 calls
JKGrad: ABx                         :      3.117u      0.183s      0.182w     45 calls
JKGrad: Amnx                        :     32.133u      1.600s      1.745w     45 calls
Grad: XC                            :     61.000u      0.750s      3.091w     45 calls
V_xc gradient                       :     12.033p                          24988 calls

--------------------------------------------------------------------------------------
V: Grid                             :     33.450u      1.700s      1.756w     53 calls
| build grid                        :     16.367u      0.733s      0.859w     53 calls
| post-process grid                 :     16.883u      0.967s      0.889w     53 calls
DFH: sparsity prep                  :     11.667u      0.667s      0.917w     53 calls
| Libint2ERI::Libint2ERI            :      7.400u      0.417s      0.677w     53 calls
DFH: initialize()                   :     25.717u      2.100s      1.419w     53 calls
| Libint2ERI::Libint2ERI            :      5.800u      0.283s      0.305w    689 calls
| DFH: AO Construction              :      2.367u      0.067s      0.119w     53 calls
| DFH: AO-Met. Contraction          :      0.850u      0.117s      0.051w     53 calls
HF: Form core H                     :      5.700u      0.383s      0.309w     53 calls
HF: Form S/X                        :      0.900u      0.083s      0.051w     53 calls
HF: Guess                           :     72.233u      5.183s      3.878w     53 calls
| SAD Guess                         :     70.050u      5.117s      3.754w     53 calls
HF: Form G                          :    317.033u      2.400s     16.239w    513 calls
| RV: Form V                        :    311.750u      1.883s     15.946w    513 calls
| | Properties                      :     51.744p                         284749 calls
| | Functional                      :     57.442p                         284749 calls
| | V_xc                            :     77.245p                         284749 calls
| JK: D                             :      0.250u      0.017s      0.013w    513 calls
| JK: USO2AO                        :      0.117u      0.017s      0.005w    513 calls
| JK: JK                            :      3.617u      0.383s      0.203w    513 calls
| | DFH: compute_JK()               :      3.300u      0.383s      0.189w    513 calls
| | | DFH: Grabbing AOs             :      0.017u      0.033s      0.004w    513 calls
| | | DFH: compute_J                :      1.050u      0.150s      0.064w    513 calls
| | | DFH: compute_K                :      1.317u      0.083s      0.070w    513 calls
| JK: AO2USO                        :      0.017u      0.000s      0.004w    513 calls
HF: Form F                          :      0.233u      0.050s      0.015w    513 calls
HF: Form D                          :      0.233u      0.017s      0.012w    513 calls
HF: DIIS                            :     40.567u      2.333s      2.146w    460 calls
HF: Form C                          :      9.683u      0.500s      0.502w    460 calls
Grad: V T Perturb                   :      3.917u      0.283s      0.205w     45 calls
Grad: S                             :      1.733u      0.083s      0.098w     45 calls
Grad: JK                            :     73.017u      4.400s      3.946w     45 calls
| JKGrad: Amn                       :     25.983u      1.583s      1.377w     45 calls
| | Libint2ERI::Libint2ERI          :      5.500u      0.283s      0.288w     45 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     45 calls
| JKGrad: AB                        :      7.967u      0.467s      0.425w     45 calls
| | Libint2ERI::Libint2ERI          :      0.417u      0.067s      0.021w    540 calls
| JKGrad: UV                        :      0.183u      0.033s      0.010w     45 calls
| JKGrad: ABx                       :      3.117u      0.183s      0.182w     45 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.017s      0.002w     45 calls
| JKGrad: Amnx                      :     32.133u      1.600s      1.745w     45 calls
| | Libint2ERI::Libint2ERI          :      5.550u      0.400s      0.298w     45 calls
Grad: XC                            :     61.000u      0.750s      3.091w     45 calls
| Properties                        :     13.975p                          24988 calls
| Functional                        :      4.309p                          24988 calls
| V_xc gradient                     :     12.033p                          24988 calls

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 12:58:49 2023
Timers Off: Fri Oct 13 13:01:02 2023

Wall Time:      132.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: beboplogin2

Timers On : Fri Oct 13 13:11:32 2023
Timers Off: Fri Oct 13 13:11:37 2023

Wall Time:        5.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
